"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9875","Client App login page object for ADIDAS ORIGINAL","chromium","2026-06-24","passed","2026-06-24","","ClientAppPO.spec.js","",""
"","30876","@Webst Client App login","chromium","2026-06-24","broken","2026-06-24","","ClientApp.spec.js","",""
"","9159","has title","chromium","2026-06-24","passed","2026-06-24","","example.spec.js","",""
"","1552","get started link","chromium","2026-06-24","passed","2026-06-24","","example.spec.js","",""
"","4335","@Web UI Controls","chromium","2026-06-24","passed","2026-06-24","","UiBasics.spec.js","",""
"","30890","Client App login page object for ZARA COAT 3","chromium","2026-06-24","broken","2026-06-24","","ClientAppPO.spec.js","",""
"","3257","@Child windows handle","chromium","2026-06-24","passed","2026-06-24","","UiBasics.spec.js","",""
"","6140","@special locators","chromium","2026-06-24","passed","2026-06-24","","Locators.spec.js","",""
"","12649","@Web Browser Context-Validating Error login","chromium","2026-06-24","passed","2026-06-24","","UiBasics.spec.js","",""
"","7814","@Handling calendar","chromium","2026-06-24","passed","2026-06-24","","Calendar.spec.js","",""
"","10160","@Hide and show element validation","chromium","2026-06-24","passed","2026-06-24","","HideElement.spec.js","",""
